,0,1,2,3,4,5,6,7,8,9
0,1,2,-797.4578302720311,500,False,"{'Intercept': 1.0000331446552007, 'col0': 0.999997606964772, 'col1': 1.0000279668534606}",0.18,0.39287156122037026,0.023809523809523808,0.13050301478483523
1,1,2,-563.7203620143583,1000,False,"{'Intercept': 1.0000017746568421, 'col0': 1.0000744408903737, 'col1': 1.0000276423177594}",0.7,0.5504931080223773,0.639423076923077,0.33982720650516685
2,1,2,Null,10000,False,"{'Intercept': nan, 'col0': 0.9999949999875, 'col1': 0.9999949999875}",0.6537,0.5466289866774324,0.5225423962498277,0.3062395199011561
3,1,2,Null,20000,False,"{'Intercept': nan, 'col0': 0.9999949999875, 'col1': 0.9999949999875}",0.6668,0.5479554760943538,0.534376746785914,0.3046486870120653
4,1,4,-344.51753932813267,500,False,"{'Intercept': 0.999998068632092, 'col0': 1.0000083214814368, 'col1': 1.0000598994491865, 'col2': 0.9999950112959117, 'col3': 1.0000115927622313}",0.712,0.5209643001326489,0.6814159292035398,0.35139778228955176
5,1,4,-805.6182708955303,1000,False,"{'Intercept': 1.0000581857825954, 'col0': 1.0000013762095354, 'col1': 1.000009376340786, 'col2': 1.0000059991243166, 'col3': 1.0000104060955324}",0.687,0.527423726858527,0.6339181286549708,0.3316476345840131
6,1,4,-4236.299402461365,10000,False,"{'Intercept': 0.9999954761120171, 'col0': 1.000210328143638, 'col1': 1.0011426046546505, 'col2': 1.0017199269537231, 'col3': 1.0002904895632172}",0.886,0.5694100005767345,0.8808528428093646,0.46078289758775093
7,1,4,-6641.800781398731,20000,False,"{'Intercept': 1.0000026349111806, 'col0': 1.0012535984054949, 'col1': 1.0029819320879916, 'col2': 1.0040046616327019, 'col3': 1.0002650298254903}",0.93795,0.5931137897225907,0.9375911491073673,0.5326266975819808
8,1,6,-332.2389717798935,500,False,"{'Intercept': 1.000037143415289, 'col0': 1.000031433876155, 'col1': 1.0000055325839503, 'col2': 0.9999950371419598, 'col3': 0.9999971913987877, 'col4': 1.0000719820373698, 'col5': 1.0001372231642713}",0.724,0.52696233923525,0.6986899563318777,0.3666409266409266
9,1,6,-834.5319075553177,1000,False,"{'Intercept': 1.00000667044468, 'col0': 1.000045758607451, 'col1': 1.0000046879928106, 'col2': 1.0000653809993953, 'col3': 1.000002735363719, 'col4': 1.000038316479676, 'col5': 1.000075539295065}",0.688,0.5295576446161832,0.6346604215456675,0.3358032733490758
10,1,6,-4134.7583453092275,10000,False,"{'Intercept': 1.000462917310887, 'col0': 1.0002708148262311, 'col1': 0.9999956200400715, 'col2': 0.9999982755081027, 'col3': 1.0003391740281773, 'col4': 1.0000314191356183, 'col5': 1.000045802126793}",0.9081,0.5661802872137955,0.9063487210842759,0.4556375741786077
11,1,6,-6510.063587360744,20000,False,"{'Intercept': 1.0001602699291057, 'col0': 1.0009657685356614, 'col1': 1.0003206969926108, 'col2': 1.001218732393445, 'col3': 1.001850192712542, 'col4': 1.0004091505091044, 'col5': 1.0000344512612485}",0.94705,0.5928254224580426,0.9472635824909118,0.5310839532412327
12,1,8,-332.3026131684313,500,False,"{'Intercept': 0.9999998836980747, 'col0': 1.0000080754710525, 'col1': 1.0000061818326937, 'col2': 1.0000064797172545, 'col3': 1.0000381131215033, 'col4': 0.9999972432577787, 'col5': 1.000138371584882, 'col6': 1.0000299050724948, 'col7': 1.0000421844316765}",0.722,0.5274814003114366,0.6958424507658643,0.36748243650119666
