,0,1,2,3,4,5,6,7,8,9
0,1,2,-282.9063941580872,1000,False,"{'Intercept': 1.0000383576980543, 'col0': 1.0001854207798435, 'col1': 1.0000272715086262}",0.907,0.6231266375545852,0.9072781655034895,0.6227180527383367
1,1,4,-133.70678431775772,1000,False,"{'Intercept': 1.0000121527558994, 'col0': 1.0000795714346378, 'col1': 0.9999914027696846, 'col2': 1.000009288320772, 'col3': 0.9999899548595433}",0.973,0.6330131004366812,0.9728643216080402,0.6379458900568671
2,1,6,-128.5014179487854,1000,False,"{'Intercept': 1.0000450340275522, 'col0': 1.0000021103144638, 'col1': 1.0008511186363183, 'col2': 1.0006356435733954, 'col3': 1.0000405390035991, 'col4': 1.0000397298124892, 'col5': 1.000485803304404}",0.97,0.630113537117904,0.9699999999999999,0.6306168015629362
3,1,8,-116.46921805237086,1000,False,"{'Intercept': 1.000024879497292, 'col0': 1.000022395181527, 'col1': 1.000016374015684, 'col2': 1.0000373061365344, 'col3': 0.9999975451560914, 'col4': 1.0000474452973143, 'col5': 0.9999902338622825, 'col6': 0.9999910280412341, 'col7': 1.000058273166371}",0.98,0.6289606986899563,0.9800399201596806,0.6134585289514867
4,1,10,-114.27031760894776,1000,False,"{'Intercept': 1.0001321593894654, 'col0': 1.0000719172395642, 'col1': 1.0000216680495202, 'col2': 1.0000384292495283, 'col3': 1.00007302869935, 'col4': 0.999995779119172, 'col5': 1.0002441910761803, 'col6': 1.0001487055478855, 'col7': 1.0000583041187028, 'col8': 1.0001199814126938, 'col9': 1.0004171652004994}",0.982,0.6378340611353712,0.9820359281437127,0.624506501503133
5,1,12,-113.2988311337011,1000,False,"{'Intercept': 1.0001141820907127, 'col0': 1.0004782701117887, 'col1': 1.0009356941002157, 'col2': 1.0004020445373294, 'col3': 1.0002730391154513, 'col4': 1.0001551540032658, 'col5': 0.999989949029972, 'col6': 1.0001150868946698, 'col7': 1.000339790173669, 'col8': 1.0001011232156414, 'col9': 0.9999915186761549, 'col10': 1.0000645032951203, 'col11': 1.000045328362205}",0.987,0.6517729257641921,0.987012987012987,0.644127097465191
6,2,2,-182.6857195376501,1000,False,"{'Intercept': 1.000204526044804, 'col0': 1.0005140237960684, 'col1': 1.0000160744592623, 'col2': 1.0003583730064725, 'col3': 1.000011078607423}",0.941,0.6406637554585153,0.942439024390244,0.6429959738997639
7,2,4,-93.45638986622039,1000,False,"{'Intercept': 0.9999899244347019, 'col0': 1.0000617541637598, 'col1': 1.0015561089881193, 'col2': 1.0018611839995109, 'col3': 0.9999965909609826, 'col4': 1.0001652379387957, 'col5': 1.0000106499625658, 'col6': 1.0005674213495583, 'col7': 1.0000177660336256}",0.986,0.6782183406113537,0.9859719438877755,0.6861134775941388
8,2,6,-99.83846339996843,1000,False,"{'Intercept': 0.9999899986015063, 'col0': 1.0002632170303076, 'col1': 1.000991846559643, 'col2': 1.000616051385765, 'col3': 1.0000556197014052, 'col4': 1.0003660853654321, 'col5': 0.9999967811218353, 'col6': 1.0000829352722072, 'col7': 1.0004075980559233, 'col8': 1.00039549605551, 'col9': 1.0001028515211166, 'col10': 1.0000165438603648, 'col11': 1.000072377447555}",0.989,0.6768908296943231,0.9889669007021062,0.6813875779393022
9,2,8,-101.08870023150955,1000,False,"{'Intercept': 1.0001412170345212, 'col0': 1.0000260145148447, 'col1': 1.0000014138371003, 'col2': 1.0001261708724674, 'col3': 1.0006949258926232, 'col4': 1.0001470085020816, 'col5': 1.0003411215996412, 'col6': 1.0000189227203475, 'col7': 0.9999911228437516, 'col8': 1.000457937308221, 'col9': 1.0004376935185988, 'col10': 1.0003960719247948, 'col11': 0.9999974336854411, 'col12': 1.0002448706361966, 'col13': 1.0000308082146079, 'col14': 0.9999922064695098, 'col15': 1.0000021056686588}",0.99,0.6793013100436681,0.9899799599198397,0.6725171232876711
10,2,10,-110.08048833619121,1000,False,"{'Intercept': 1.0001029169067879, 'col0': 1.0009274447368959, 'col1': 1.0002779175295524, 'col2': 1.0003859768317793, 'col3': 1.0012164768040075, 'col4': 1.0016905399485199, 'col5': 1.000136713889392, 'col6': 1.0012129779579222, 'col7': 1.0009692221879705, 'col8': 1.000314916625465, 'col9': 1.0000902562693845, 'col10': 1.0009398017643003, 'col11': 0.9999905383995689, 'col12': 1.0000139780922686, 'col13': 0.9999927773082901, 'col14': 1.000485885527423, 'col15': 1.000101312487212, 'col16': 1.0000105138822484, 'col17': 0.999993573357564, 'col18': 1.0000011587789321, 'col19': 1.0001286144954502}",0.99,0.6910742358078603,0.9899799599198397,0.6856492837083644
11,2,12,-120.74020893784322,1000,False,"{'Intercept': 1.0001203069795879, 'col0': 0.9999952994109269, 'col1': 1.0000344712036198, 'col2': 1.00068817027675, 'col3': 0.9999899309160776, 'col4': 1.0005471931156515, 'col5': 1.000060736938051, 'col6': 1.000082424979172, 'col7': 0.9999927926753271, 'col8': 1.000150897795274, 'col9': 1.000122620424483, 'col10': 1.0009602027519011, 'col11': 1.0000352547672862, 'col12': 1.000036792101465, 'col13': 1.001122528430927, 'col14': 1.0002661370779709, 'col15': 1.0000006920153626, 'col16': 1.0010649349761496, 'col17': 1.0000867501256259, 'col18': 0.9999948499826319, 'col19': 1.0001639033835175, 'col20': 1.0012758886025708, 'col21': 1.0003311058337558, 'col22': 1.0018594758375297, 'col23': 0.9999900560106199}",0.989,0.6928908296943231,0.9889669007021062,0.6855078166923049
