,0,1,2,3,4,5,6,7,8,9,10,11
0,1,2,-146.19198174677828,500,False,"{'Intercept': 1.0000169933763072, 'col0': 1.0000436305393607, 'col1': 1.0001108853735248}",0.9,0.6200873362445415,0.9011857707509883,0.6172796058419848,0,63.68176216504071
1,1,2,-275.4430728344924,1000,False,"{'Intercept': 1.0000027574058739, 'col0': 0.9999944539890198, 'col1': 1.0000264948001718}",0.907,0.6233362445414847,0.9072781655034895,0.6230597119284016,0,74.07007157499902
2,1,2,-2855.1872090674965,10000,False,"{'Intercept': 0.9999966523328855, 'col0': 0.9999957359691106, 'col1': 1.0000835474841205}",0.9138,0.6277729257641922,0.914973367528112,0.6306887109632248,0,3283.3662797970464
3,1,2,-5621.703583325816,20000,False,"{'Intercept': 0.9999967657948707, 'col0': 1.0000440659911498, 'col1': 1.0001401051250856}",0.91495,0.6280873362445415,0.9157545441038086,0.6304498750347126,0,7438.164463654975
4,1,4,-55.27716498303288,500,False,"{'Intercept': 1.0001248152894913, 'col0': 1.000129123122494, 'col1': 1.000447180376819, 'col2': 1.0003773585476683, 'col3': 1.000103295427998}",0.976,0.6295196506550218,0.9759036144578314,0.6246416309772413,0,232.21741521102376
5,1,4,-119.6844830820854,1000,False,"{'Intercept': 0.9999940689048346, 'col0': 0.9999945411074217, 'col1': 1.0000071467805545, 'col2': 1.000010577968362, 'col3': 1.0000825083841494}",0.973,0.6329082969432315,0.9728643216080402,0.6380296245263521,0,323.9742266180692
6,1,4,-1275.572706270766,10000,False,"{'Intercept': 1.0005585975987554, 'col0': 1.0000053003687253, 'col1': 1.0005594416853372, 'col2': 1.000598722113054, 'col3': 1.0000754798593683}",0.9671,0.6327336244541485,0.9675894000591075,0.6310062826857603,0,9776.836120824097
7,1,4,-2731.6942142995335,20000,False,"{'Intercept': 1.0002156394695685, 'col0': 1.0008452727027086, 'col1': 0.9999964343268273, 'col2': 0.9999946677960201, 'col3': 1.0007086293242813}",0.9668,0.633467248908297,0.9670471464019852,0.6340170224640714,0,17613.445486163022
8,1,6,-54.291053555525515,500,False,"{'Intercept': 1.0000404554704485, 'col0': 1.0000046318779519, 'col1': 1.0000836414372702, 'col2': 1.000146376065536, 'col3': 1.000007927779015, 'col4': 1.000034919391353, 'col5': 0.9999988544877284}",0.97,0.6298340611353712,0.9698189134808854,0.6251061420888763,0,319.44647989899386
9,1,6,-107.96294960660481,1000,False,"{'Intercept': 1.0000030787659229, 'col0': 1.0000215325558663, 'col1': 1.0000119776219887, 'col2': 1.0000722025664022, 'col3': 1.0001641088736068, 'col4': 1.0001193659555532, 'col5': 0.9999956439464444}",0.972,0.6301484716157205,0.9719438877755512,0.6306388026375467,0,454.26489253889304
10,1,6,-1124.186562105262,10000,False,"{'Intercept': 1.0001313121500583, 'col0': 1.0001863990297668, 'col1': 1.0000448299798126, 'col2': 0.9999998085279003, 'col3': 1.0001738564835223, 'col4': 1.0000673510256564, 'col5': 1.0000358110664607}",0.9721,0.6294497816593887,0.9725420726306466,0.6186041494372729,0,13611.730258743046
11,1,6,-2345.767629260674,20000,False,"{'Intercept': 1.0000842066070559, 'col0': 1.0000012947594261, 'col1': 1.0003359455377836, 'col2': 1.000235971600155, 'col3': 0.9999987769696134, 'col4': 0.9999937530821477, 'col5': 0.999994552302511}",0.97145,0.6282620087336245,0.9717480579882243,0.6173816115925354,0,24660.555977158016
12,1,8,-51.54273828634118,500,False,"{'Intercept': 1.0001685329657553, 'col0': 1.000144079887564, 'col1': 1.000146174165945, 'col2': 1.0002467871140543, 'col3': 1.000008030553228, 'col4': 1.0000006751843498, 'col5': 1.000000196637381, 'col6': 1.0000114814181902, 'col7': 1.0002338782310065}",0.974,0.6257467248908297,0.9738430583501007,0.6114677401806116,0,441.7953829639591
13,1,8,-89.09016342826827,1000,False,"{'Intercept': 1.0001624128101474, 'col0': 1.0000871495649577, 'col1': 1.0001311640340722, 'col2': 1.000228036914679, 'col3': 1.0000033625578246, 'col4': 1.0001086210197228, 'col5': 1.000175270967461, 'col6': 1.0001144957481065, 'col7': 0.9999959536579583}",0.98,0.6276331877729258,0.9800399201596806,0.6093457943925235,0,592.9579678879818
14,1,8,-1123.3497949106488,10000,False,"{'Intercept': 1.0002431014022801, 'col0': 1.0004967937225178, 'col1': 0.9999966353963918, 'col2': 1.0000443557061893, 'col3': 1.0004953595407016, 'col4': 1.0003217784923566, 'col5': 1.0000170039674074, 'col6': 1.0002195127057592, 'col7': 1.0000438330113561}",0.9728,0.6296593886462882,0.9732336154300334,0.6189021102203689,0,17420.925396758015
15,1,8,-2341.196259024159,20000,False,"{'Intercept': 1.000095691238715, 'col0': 1.0000678051501912, 'col1': 1.0001564665191391, 'col2': 1.0000832059516336, 'col3': 1.0001921218089505, 'col4': 1.0000316170115793, 'col5': 0.9999940507937893, 'col6': 0.9999984695657462, 'col7': 1.0000185124365888}",0.9718,0.6283318777292577,0.9720957846823669,0.6180303737478907,0,31680.484675262007
16,1,10,-43.44930126775913,500,False,"{'Intercept': 1.0002641539615384, 'col0': 1.0006124020433436, 'col1': 1.0004756331625795, 'col2': 1.0007305372684816, 'col3': 1.0001567992411873, 'col4': 0.9999976298324388, 'col5': 1.0000389846732367, 'col6': 1.0000513895485346, 'col7': 1.00039176843404, 'col8': 1.0002461029938363, 'col9': 1.0000728627417905}",0.984,0.6306724890829695,0.9839357429718876,0.5986637309239997,0,549.8595908780117
