,0,1,2,3,4,5,6,7,8,9
0,1,2,-153.64245653511068,500,False,"{'Intercept': 1.0000286542520795, 'col0': 1.0000877606607261, 'col1': 1.0000989544808498}",0.9,0.6199825327510917,0.9011857707509883,0.6170257710181665
1,1,2,-282.9067956080264,1000,False,"{'Intercept': 1.0000355704341977, 'col0': 1.00000686318807, 'col1': 0.9999974075282022}",907,0.6231266375545852,0.9072781655034895,0.6227180527383367
4,1,4,-69.31269024092256,500,False,"{'Intercept': 1.0000339929456374, 'col0': 1.000002528380504, 'col1': 1.000059068157516, 'col2': 1.0000797514142028, 'col3': 1.0000109578939993}",976,0.629589519650655,0.9759036144578314,0.625401872460696
5,1,4,-133.70475184176178,1000,False,"{'Intercept': 1.0000277941023255, 'col0': 0.9999986905808921, 'col1': 1.0000013649891002, 'col2': 0.9999968768290682, 'col3': 1.000032699126046}",973,0.6330829694323145,0.9728643216080402,0.6380148199207306
6,1,4,-1289.6176728245603,10000,False,"{'Intercept': 1.0000047607939841, 'col0': 1.000217166973204, 'col1': 0.9999950341768362, 'col2': 1.0000185647031044, 'col3': 1.0001058685861026}",967,0.6327336244541485,0.9674940898345153,0.6310580803649762
7,1,4,-2745.729808317722,20000,False,"{'Intercept': 1.0000609352750032, 'col0': 1.0000207074403948, 'col1': 1.0000035621509449, 'col2': 1.0000157465579396, 'col3': 1.0000887989816853}",0.9668,0.633467248908297,0.9670471464019852,0.6340170224640714
8,1,6,-74.80061099178637,500,False,"{'Intercept': 1.000006137879982, 'col0': 1.0000174599789708, 'col1': 0.9999965760006059, 'col2': 1.0000025214746404, 'col3': 1.0000148518094247, 'col4': 1.000045214412021, 'col5': 0.9999953629446141}",0.97,0.6300087336244542,0.9698189134808854,0.6255612515467562
9,1,6,-128.32120771089635,1000,False,"{'Intercept': 0.9999950029028457, 'col0': 1.000006300985427, 'col1': 0.9999956880475852, 'col2': 0.9999950045461946, 'col3': 1.000112073491794, 'col4': 1.0000257292078782, 'col5': 1.0000112980450704}",0.97,0.6303231441048035,0.9699999999999999,0.6308261233603127
10,1,6,-1145.4629175151738,10000,False,"{'Intercept': 1.0001839203684373, 'col0': 1.0000316874321329, 'col1': 1.0000537963550717, 'col2': 1.0000216201777037, 'col3': 1.00007768721111, 'col4': 1.0000445582106516, 'col5': 1.0000074507402974}",0.9721,0.6295545851528385,0.9725420726306466,0.6187805579522577
11,1,6,-2366.3645186014633,20000,False,"{'Intercept': 1.0001196635095193, 'col0': 1.000002257253654, 'col1': 1.0000166758339197, 'col2': 0.9999992117416773, 'col3': 1.0000116332970543, 'col4': 0.9999952801256063, 'col5': 1.0000037221929283}",0.97155,0.628296943231441,0.9718470140022759,0.6176238050743909
12,1,8,-78.6714610782218,500,False,"{'Intercept': 1.0001026779625137, 'col0': 1.0000756252149532, 'col1': 1.0000313543054942, 'col2': 1.0000753236146265, 'col3': 0.9999959337678226, 'col4': 0.9999951221337255, 'col5': 1.0000686962656413, 'col6': 1.0000295833759487, 'col7': 1.000011503900335}",974,0.6274585152838428,0.9738430583501007,0.6155731795241528
13,1,8,-116.25923794383829,1000,False,"{'Intercept': 1.0000295477097312, 'col0': 1.0000966346897653, 'col1': 1.0000913704992835, 'col2': 1.0001163533553705, 'col3': 1.0000331052360252, 'col4': 0.9999980738009833, 'col5': 1.0000109533443173, 'col6': 1.0002718595877134, 'col7': 1.0000580326403894}",0.98,0.6292052401746725,0.9800399201596806,0.6136148525664361
14,1,8,-1150.4708364956634,10000,False,"{'Intercept': 1.0002453137141318, 'col0': 1.000338112714665, 'col1': 1.0000128122225511, 'col2': 1.0000029851473047, 'col3': 1.0006902813292855, 'col4': 1.0001727132491585, 'col5': 0.9999975524898228, 'col6': 1.0000047397519585, 'col7': 1.0000194009648313}",973,0.6294847161572052,0.973435655253837,0.6189552346051592
15,1,8,-2367.148620633264,20000,False,"{'Intercept': 1.0007154687279565, 'col0': 1.001009705133817, 'col1': 1.0000506051400022, 'col2': 1.0000213433793401, 'col3': 1.0010999624359656, 'col4': 1.0010857765925882, 'col5': 1.000021965219392, 'col6': 0.9999951695152635, 'col7': 1.000034423962445}",0.9719,0.6285065502183406,0.9721974868902741,0.6181961798075543
16,1,10,-77.39613496215168,500,False,"{'Intercept': 1.0000787604415853, 'col0': 1.0004443356695754, 'col1': 1.0005497810770254, 'col2': 1.0006300015008502, 'col3': 1.000245477745568, 'col4': 1.0001382823416545, 'col5': 0.99999652484895, 'col6': 1.0000359672632757, 'col7': 1.0002125690543617, 'col8': 1.0001270925220105, 'col9': 1.0000340324184567}",984,0.63364192139738,0.9839357429718876,0.6065948906478599
17,1,10,-114.19083498703762,1000,False,"{'Intercept': 1.0000396626635812, 'col0': 1.0000059011431595, 'col1': 0.9999990597097312, 'col2': 0.9999954484886315, 'col3': 1.0000142347108718, 'col4': 0.999997754963592, 'col5': 1.0000020740192597, 'col6': 0.9999983620287773, 'col7': 0.999998411822676, 'col8': 1.0000022306356147, 'col9': 1.0000090461915316}",982,0.6382882096069868,0.9820359281437127,0.6254792736743109
18,1,10,-1079.3516352542308,10000,False,"{'Intercept': 1.000224950665041, 'col0': 1.0006023439447276, 'col1': 1.0000545586858494, 'col2': 0.999995185236858, 'col3': 1.0004633134529246, 'col4': 1.000279543952258, 'col5': 1.0001051727267682, 'col6': 1.000005414502296, 'col7': 1.0000019020851343, 'col8': 1.000082075362624, 'col9': 0.9999980149718032}",0.9751,0.641886462882096,0.9754510499852115,0.631272256393655
19,1,10,-2237.4140945767354,20000,False,"{'Intercept': 1.0000285111028577, 'col0': 1.0001730767455723, 'col1': 0.9999950210705024, 'col2': 0.9999971267557755, 'col3': 1.0001153111019367, 'col4': 1.0000450888491679, 'col5': 1.0000295035622855, 'col6': 1.000035456370803, 'col7': 1.000010268131855, 'col8': 1.0001657483290352, 'col9': 1.0002704717689697}",0.9744,0.641117903930131,0.9746383990489399,0.6301083786411262
20,1,12,-83.31744253533226,500,False,"{'Intercept': 1.0000098307010705, 'col0': 0.9999967972057698, 'col1': 0.999999397699502, 'col2': 0.9999967148967659, 'col3': 1.000015598687047, 'col4': 1.0000858887546928, 'col5': 1.0000579891691979, 'col6': 1.0001139383565583, 'col7': 1.0000096891399408, 'col8': 1.0000562777433948, 'col9': 0.999999476809569, 'col10': 0.9999972337864477, 'col11': 1.0000116670942498}",984,0.6329781659388646,0.9839357429718876,0.6085401296668902
21,1,12,-113.49589164581501,1000,False,"{'Intercept': 1.0002607216221457, 'col0': 0.999995011678531, 'col1': 1.0001257886947876, 'col2': 1.0001037374979385, 'col3': 1.0002353741237164, 'col4': 1.000359321733432, 'col5': 1.0000033065486895, 'col6': 1.0001270678315755, 'col7': 1.0000354765360089, 'col8': 1.0002136098830325, 'col9': 0.9999964340451836, 'col10': 1.000027014214762, 'col11': 1.000027782963841}",986,0.6533449781659388,986,0.6464279351505434
