,0,1,2,3,4,5,6,7,8,9
0,1,2,-183.05661656635093,500,False,"{'Intercept': 0.9999956591159433, 'col0': 0.9999953990009831, 'col1': 0.9999992507004626}",0.878,0.700918192050234,0.8810916179337231,0.4023108248887205
1,1,2,-384.59137901592806,1000,False,"{'Intercept': 1.0000125464153364, 'col0': 1.0001563490575487, 'col1': 1.0000015278144356}",0.872,0.7014157929032641,0.8732673267326733,0.4035029585798816
2,1,2,-3380.531887225949,10000,False,"{'Intercept': 0.9999958098067269, 'col0': 0.9999950010747706, 'col1': 1.000112680225443}",0.8888,0.7094840353059653,0.8919339164237123,0.41181126915973043
3,1,2,-6854.922538055741,20000,False,"{'Intercept': 0.999995159493603, 'col0': 1.0000177215668409, 'col1': 0.9999950128587437}",0.8872,0.7192346424974824,0.8886915334517466,0.41965029142381355
4,1,4,-106.3870873221002,500,False,"{'Intercept': 1.000006786011878, 'col0': 1.0000395311307073, 'col1': 1.0000012812926091, 'col2': 1.000002687873592, 'col3': 0.9999976794496375}",0.944,0.7936022747467567,0.9465648854961832,0.49984209468576846
5,1,4,-228.30322629225617,1000,False,"{'Intercept': 0.999995455780877, 'col0': 1.0000099290673088, 'col1': 1.0000417285539542, 'col2': 1.0000652549672435, 'col3': 1.000030590593972}",0.928,0.8009359635092708,0.9298245614035089,0.509230050239514
6,1,4,-1954.580236625471,10000,False,"{'Intercept': 1.0002658911814184, 'col0': 1.0005424075576268, 'col1': 1.0014147034279421, 'col2': 1.0015614191948723, 'col3': 1.0000079235031414}",0.9436,0.739197914815473,0.9454756380510441,0.44184690281193745
7,1,4,-3966.0760197251534,20000,False,"{'Intercept': 1.0000242530391004, 'col0': 1.0002361180330972, 'col1': 1.0002979500824343, 'col2': 1.0002536246101181, 'col3': 1.0000318075215429}",0.9444,0.7503465434512173,0.9455382505632287,0.4527037556490571
8,1,6,-108.91208024143695,500,False,"{'Intercept': 1.000086211454828, 'col0': 0.9999971633497639, 'col1': 1.0000316837367522, 'col2': 1.0000049434033589, 'col3': 1.0001194441788057, 'col4': 1.0000246273982651, 'col5': 0.9999963181400268}",0.94,0.7841004679817546,0.9423076923076923,0.4884484743003116
9,1,6,-204.0349088730294,1000,False,"{'Intercept': 1.0000056346230748, 'col0': 1.000040597428453, 'col1': 0.9999950113178898, 'col2': 0.9999994459475908, 'col3': 0.9999990807831739, 'col4': 0.9999989315062169, 'col5': 1.0000163497322703}",0.948,0.7790059830578757,0.9498069498069498,0.4829383229383229
10,1,6,-1708.6239708101634,10000,False,"{'Intercept': 1.0000363836504664, 'col0': 0.999995277267839, 'col1': 1.0004345973730293, 'col2': 1.0003231177307506, 'col3': 1.0001190750015785, 'col4': 1.000011270813537, 'col5': 1.0000161794328768}",0.953,0.7581778330667615,0.9548597771801767,0.46066851631655437
