,0,1,2,3,4,5,6,7,8
10,1,12,-2762.0028382442583,2000,"{'Intercept': 1.000012879168119, 'col0': 0.9999984911958585, 'col1': 1.0000001487700567, 'col2': 1.0000026850947563, 'col3': 1.0000010668882844, 'col4': 0.9999987942834154, 'col5': 0.9999988042123742, 'col6': 1.0000025341762098, 'col7': 0.9999988197037741, 'col8': 1.000005477486514, 'col9': 1.0000082866575215, 'col10': 1.0000489573641786, 'col11': 1.00003542064691}",0.5925,0.8980392156862745,0.3773873185637892,0.5164081816138458
11,1,12,-4070.1305583827866,4000,"{'Intercept': 1.000044667035843, 'col0': 1.0000720241536276, 'col1': 1.0000075490556402, 'col2': 1.0000492666493968, 'col3': 1.0000002996427182, 'col4': 0.9999986089834072, 'col5': 0.9999988404042086, 'col6': 1.000010666620211, 'col7': 1.0000499029973744, 'col8': 1.0000014294944521, 'col9': 1.000008204154748, 'col10': 0.9999983636821279, 'col11': 1.0000286963907004}",0.688,0.9201232154493217,0.5684647302904564,0.6890795056262682
12,2,2,-1601.9088763225748,2000,"{'Intercept': 1.0000711231805826, 'col0': 1.000028045157654, 'col1': 1.0000241849433307, 'col2': 0.9999983429102853, 'col3': 1.0000117088442413}",0.7045,0.8926011492210177,0.6204238921001927,0.6047180918327302
13,2,2,-2727.423880040712,4000,"{'Intercept': 0.9999988954821044, 'col0': 0.9999991902487937, 'col1': 1.000142150712121, 'col2': 1.0000327775791316, 'col3': 1.0000004397483893}",0.75875,0.8868787394111723,0.7073096754625418,0.6240056706308575
14,2,4,-2074.0959647987784,2000,"{'Intercept': 1.000051462199108, 'col0': 0.9999986421927964, 'col1': 0.9999985397996394, 'col2': 1.0000089447081106, 'col3': 1.000006969338234, 'col4': 0.9999983397091347, 'col5': 1.0000037086771458, 'col6': 1.0000121171954484, 'col7': 1.000015375032826}",0.769,0.9269593033588057,0.7236842105263158,0.7117677310767216
15,2,4,-3018.137238664181,4000,"{'Intercept': 1.0000684085253961, 'col0': 1.0000065672610265, 'col1': 1.000022681655337, 'col2': 1.000037221356073, 'col3': 1.0000061854218858, 'col4': 1.0000019084157485, 'col5': 0.9999984256230146, 'col6': 0.9999988793165739, 'col7': 0.9999995301625348}",0.8305,0.9315443397902968,0.8044982698961938,0.7449231855906764
16,2,6,-1953.1767664080019,2000,"{'Intercept': 0.9999983782459207, 'col0': 1.0000132395833723, 'col1': 1.0000647614183624, 'col2': 1.0000018909895962, 'col3': 1.0000683019818912, 'col4': 1.0000024558815024, 'col5': 1.0000090977569769, 'col6': 1.0000565486784725, 'col7': 0.9999983320221194, 'col8': 0.9999990064953881, 'col9': 0.9999991740047263, 'col10': 1.0000047913936432, 'col11': 1.000036258970508}",0.778,0.9302055565428589,0.7369668246445498,0.7305246786514796
17,2,6,-2727.983004299005,4000,"{'Intercept': 1.0000185082031106, 'col0': 1.0000575371106921, 'col1': 1.0000057398844708, 'col2': 1.0000035671601448, 'col3': 0.9999988807089453, 'col4': 0.9999997533786269, 'col5': 1.0000023574808565, 'col6': 1.0000175719698807, 'col7': 1.0000100010003872, 'col8': 1.000000125403375, 'col9': 0.9999998394724628, 'col10': 0.9999988217711681, 'col11': 1.0000014169279476}",0.84925,0.9333451809726911,0.8300929839391378,0.7518962780031752
18,2,8,-1880.0299147782391,2000,"{'Intercept': 1.000001094000646, 'col0': 1.0000051584624938, 'col1': 1.000001198527214, 'col2': 0.9999990771276664, 'col3': 1.0000095708601424, 'col4': 1.0000734815565824, 'col5': 1.0000122618814702, 'col6': 1.000006849622605, 'col7': 1.0000043921765267, 'col8': 1.0000051293623975, 'col9': 1.0000024520586985, 'col10': 1.0000003576175203, 'col11': 0.9999985393076712, 'col12': 1.0000365622432432, 'col13': 1.0000379782645272, 'col14': 1.0000080185853546, 'col15': 0.9999983450445538}",0.787,0.9277530951957822,0.7502930832356389,0.7250924172752681
19,2,8,-2599.047965328729,4000,"{'Intercept': 1.0000036087714903, 'col0': 1.0000214269090466, 'col1': 0.9999992058512706, 'col2': 1.0000006808430597, 'col3': 1.0000102512718754, 'col4': 1.0000428099728493, 'col5': 1.0000539095417107, 'col6': 1.0000081870762547, 'col7': 0.9999991423461235, 'col8': 1.0000554871215257, 'col9': 0.9999994818602048, 'col10': 1.0000336408096353, 'col11': 1.0000031520030939, 'col12': 1.0000481474462757, 'col13': 1.0000002827382508, 'col14': 1.0000077695576468, 'col15': 1.0000037229599477}",0.8555,0.9304898998874475,0.8390868596881961,0.7445465232725215
20,2,10,-1662.3020947180528,2000,"{'Intercept': 0.9999985801501042, 'col0': 0.9999985665901584, 'col1': 1.000002953470953, 'col2': 1.0000221169907495, 'col3': 1.0000075656123937, 'col4': 1.0000075446194847, 'col5': 1.000005712025134, 'col6': 0.999999767777203, 'col7': 1.0000122878734563, 'col8': 1.0000017092711744, 'col9': 1.0000154979158529, 'col10': 1.0000099134133948, 'col11': 0.9999989482600596, 'col12': 1.0000275129125396, 'col13': 1.0000205132992062, 'col14': 1.0000194967469545, 'col15': 0.9999996389654175, 'col16': 1.000000486434204, 'col17': 1.000018786345647, 'col18': 0.9999991526915484, 'col19': 0.999999461033143}",0.8055,0.9268289793258693,0.7768215720022948,0.7287420941672523
21,2,10,-2397.0773247696748,4000,"{'Intercept': 1.0000038490397383, 'col0': 0.9999984171509417, 'col1': 1.0000178626832765, 'col2': 1.0000409575440872, 'col3': 0.9999987753031694, 'col4': 1.0000091779353666, 'col5': 1.000009903904256, 'col6': 1.0000032938101353, 'col7': 1.0000250406369866, 'col8': 1.0000265982248489, 'col9': 1.0000086025957637, 'col10': 1.000013682309956, 'col11': 1.000001029547007, 'col12': 1.000044121311553, 'col13': 1.0000344513609667, 'col14': 1.0000290918380628, 'col15': 1.0000009750926693, 'col16': 1.0000003020461978, 'col17': 1.0000086018495389, 'col18': 1.0000839134557784, 'col19': 1.0000734953396124}",0.8675,0.9282506960488123,0.8546352166758091,0.7387853692201517
22,2,12,-1577.6979513951164,2000,"{'Intercept': 0.9999984197781654, 'col0': 1.0000102439027485, 'col1': 1.0000534861767651, 'col2': 1.0000017775808447, 'col3': 1.000002694852002, 'col4': 1.0000215927576748, 'col5': 1.0000006282708918, 'col6': 0.9999985943349821, 'col7': 0.9999995699576865, 'col8': 1.0000544055339762, 'col9': 1.000037788873634, 'col10': 1.0000007838661065, 'col11': 1.0000241176072955, 'col12': 1.0000366921446204, 'col13': 1.000020796679581, 'col14': 1.000007992197901, 'col15': 1.000011555218591, 'col16': 1.0000447104809909, 'col17': 1.0000064918778684, 'col18': 1.0000310778258255, 'col19': 1.0000705135390708, 'col20': 0.9999988196382265, 'col21': 1.0000037161229796, 'col22': 1.0000177015130882, 'col23': 1.0000021692997592}",0.8105,0.9265090930632072,0.7845366685616828,0.729327573417114
23,2,12,-2327.0177662367446,4000,"{'Intercept': 1.0000152655549261, 'col0': 1.0000003548402479, 'col1': 1.0000236257556137, 'col2': 1.0000181664763943, 'col3': 0.9999983702167203, 'col4': 1.0000162608715113, 'col5': 1.0000008788803523, 'col6': 1.000011560810381, 'col7': 1.0000043643304808, 'col8': 1.0000006249893185, 'col9': 0.9999987662903936, 'col10': 0.9999986885545643, 'col11': 1.0000012269504888, 'col12': 1.0000061013958377, 'col13': 1.000112596319225, 'col14': 1.0000124198078983, 'col15': 0.9999995209253344, 'col16': 1.000001691272304, 'col17': 1.0000185071905554, 'col18': 1.0000102827707462, 'col19': 1.000013544748448, 'col20': 1.0000004516161574, 'col21': 1.0000359388839044, 'col22': 0.9999985703063001, 'col23': 1.000015558817879}",0.87575,0.9256560630294414,0.8654210668832928,0.7324207922903074
