,0,1,2,3,4,5,6
0,1,2,500,0.9137374949979991,0.4669819482092393,0.9225128455874149,0.5465606908056128
1,1,2,1000,0.9178563462588757,0.5970355845204453,0.925169951256384,0.6115959753182499
2,1,2,10000,0.9151375187392049,0.5934598304400485,0.9207600676370832,0.5945821590843735
3,1,2,20000,0.9138905783387635,0.5946132994982409,0.9183756597836045,0.594940356134386
4,1,2,50000,0.9120724655679711,0.5942095853278736,0.9157717356113187,0.5932477743091686
5,1,4,500,0.9180179710065224,0.5116788742141992,0.921992024007466,0.6050655347730771
6,1,4,1000,0.9235878752527439,0.6151450487340677,0.9274404922148252,0.6214759770832152
7,1,4,10000,0.9275019261086863,0.6115116212007613,0.9310254968355018,0.6061739943872779
8,1,4,20000,0.9311240389744141,0.6129534575235019,0.9343296061890028,0.6066467381747846
9,1,4,50000,0.9339856410103329,0.6122037026356768,0.9369093596491203,0.6045171156334549
10,1,6,500,0.9354183553002371,0.5123132821962051,0.9385755379931952,0.5835713582192454
11,1,6,1000,0.9371357342494064,0.6165292116038987,0.9403236164031008,0.6189029632601594
12,1,6,10000,0.9391791612840894,0.6050521944748832,0.9422152905667356,0.5882635882635883
13,1,6,20000,0.9410378046289789,0.6092623565372859,0.943902522180802,0.5919412154429922
14,1,6,50000,0.9426232840151537,0.6071861122325394,0.9453247685310086,0.5897235106318898
15,1,8,500,0.94295097542287,0.5099486706269104,0.9458190856341462,0.5841530856947096
16,1,8,1000,0.9438960475580055,0.6150873752811581,0.9467919712375774,0.6175358166189112
17,1,8,10000,0.9450018385659098,0.6068400715150816,0.9478046869416659,0.5900535209573636
18,1,8,20000,0.9460596440663901,0.6089163158198281,0.9487489800463014,0.5911858684511968
19,1,8,50000,0.9470106602343507,0.6076474998558163,0.9495861678580018,0.5905507071922961
20,1,10,500,0.9476306103110357,0.5407462944806506,0.9502820106997552,0.595067378591406
21,1,10,1000,0.9487405055164652,0.6351577368937078,0.9513801786373467,0.6273123600801225
22,1,10,10000,0.9496473916809182,0.6242574542937885,0.9522155095774817,0.6082616799951897
23,1,10,20000,0.9503725084212987,0.6164715381509891,0.9528574884985107,0.5973601356260595
24,1,10,50000,0.9510744064637747,0.6227579445181383,0.9534738251966088,0.6037918711006118
25,1,12,500,0.9514157592856269,0.5456485379779688,0.95388151213548,0.5880568918636269
26,1,12,1000,0.952252894195055,0.6316396562662207,0.9547072515364113,0.6105725260654838
27,1,12,10000,0.9529473868701847,0.6281792490916431,0.955346334992279,0.6121638693376648
28,1,12,20000,0.9536354129988003,0.6248918622757944,0.9559664122479529,0.6077201447527141
29,1,12,50000,0.9542088982828668,0.6256416171636195,0.9564712437805382,0.6118055140242808
30,1,14,500,0.9543308304517488,0.5530307399504009,0.9566620918680303,0.5828399181827969
31,1,14,1000,0.954852626463578,0.6346963492704308,0.957186432899546,0.6229313013453982
32,1,14,10000,0.9554085768737421,0.6281215756387335,0.9576974258826895,0.613984674329502
33,1,14,20000,0.9559553810778226,0.624949535728704,0.9581891360039422,0.6066654569648582
34,1,14,50000,0.956386940118959,0.626506718957264,0.9585647212191212,0.6130497131931166
35,2,2,500,0.9554823231237467,0.4864179018397832,0.9578556790900487,0.5725121213575921
36,2,2,1000,0.9548743008379659,0.5939788915162351,0.9573495209597239,0.5688388045075944
37,2,2,10000,0.9542960500843555,0.5829632620104965,0.9567888721814524,0.5394560855996434
38,2,2,20000,0.9536974189610352,0.5840013841628698,0.9561851725594436,0.5194216803251381
39,2,2,50000,0.9530579813590292,0.5834246496337736,0.9555342966918215,0.5172759473367641
40,2,4,500,0.9531772495988499,0.5130630370840302,0.9556837766936611,0.6123329813122732
41,2,4,1000,0.9535548866036482,0.6372339811984543,0.956063635555548,0.6757397669862872
42,2,4,10000,0.953916419184977,0.643289693753965,0.9563897104374203,0.6712729205421207
43,2,4,20000,0.9543592362412865,0.626045331333987,0.9567867378176356,0.6551430698861822
44,2,4,50000,0.9547863634261823,0.6319856969836785,0.9571665519396312,0.6597707278059185
45,2,6,500,0.9550290768402259,0.5119095680258378,0.9574381320197864,0.6006323439195885
46,2,6,1000,0.9553271391159739,0.6333698598535095,0.9577380914312235,0.6597077244258872
47,2,6,10000,0.955720346411497,0.624949535728704,0.9580989520552222,0.6299857752489332
48,2,6,20000,0.9561178979140705,0.5987657881077341,0.9584569092849786,0.5923712427491651
