,Components,l,pol,class,map_logp,Marg. Likelihood,Modified Prior,model,gelRub,accTrain,accTest,f1Train,f1Test
24,2,True,2,ecl,-2189.25070287679,-2191.26151186659,student,RL,"{'mean1': 1.0057098592033449, 'Intercept': 1.0146397018566122, 'col0': 1.034529804008704, 'col1': 1.0225786944542568, 'col2': 1.0059897278792052, 'col3': 0.9996810157004501}",0.93,0.44,0.93,0.35
25,2,True,2,rrlyr,-1819.16208703444,-1820.26202621641,laplace,RL,"{'mean1': 0.9997152150093249, 'Intercept': 1.0013688497992241, 'col0': 1.0016560175345854, 'col1': 1.0144637066153226, 'col2': 1.00079762628572, 'col3': 1.0191966667482297}",0.94,0.63,0.94,0.61
26,2,True,2,cep,-inf,-1132.33142253108,laplace,RL,"{'mean1': 0.9997761182344748, 'Intercept': 1.0091544578430436, 'col0': 1.039857351746486, 'col1': 1.0004143052793524, 'col2': 1.0849465075608813, 'col3': 1.020757619756746}",0.92,0.59,0.92,0.53
27,2,True,2,dsct,-714.05567518824,-710.998484726612,laplace,RL,"{'mean1': 1.00205003991613, 'Intercept': 1.003947234192379, 'col0': 1.0011647351647186, 'col1': 0.9995614405601485, 'col2': 1.0023597424281874, 'col3': 0.9998842175171994}",0.92,0.65,0.92,0.44
28,2,True,2,lpv,-3001.56855165713,-3004.69352494389,laplace,RL,"{'mean1': 1.0063641318653722, 'Intercept': 1.0078118888293588, 'col0': 1.0207125879310275, 'col1': 1.0018044449361414, 'col2': 1.0759986064866658, 'col3': 1.0388875295023292}",0.89,0.64,0.88,0.70
29,2,True,2,ecl,-inf,-2256.42836616281,laplace,RL,"{'mean1': 1.001482847503686, 'Intercept': 1.0021654242779232, 'col0': 1.0045175652519354, 'col1': 1.0248340872949846, 'col2': 1.0022477268912626, 'col3': 1.0087778492306332}",0.93,0.45,0.93,0.36
30,2,True,3,rrlyr,-inf,-1641.00601198193,normal,RL,"{'mean1': 1.0002742903483886, 'Intercept': 1.0736068341064096, 'col0': 0.9998002788152051, 'col1': 1.0360845568656867, 'col2': 1.123389868688059, 'col3': 1.0052727295498745, 'col4': 1.081488712115504, 'col5': 1.04628064757661}",0.95,0.62,0.95,0.58
31,2,True,3,cep,-inf,-1120.19341191397,normal,RL,"{'mean1': 0.9998255215661122, 'Intercept': 1.0058410216415536, 'col0': 1.0054888126272306, 'col1': 1.0143571850632112, 'col2': 1.052379000309859, 'col3': 1.0984873761026663, 'col4': 1.00777233524389, 'col5': 1.1221391755848533}",0.92,0.60,0.92,0.53
32,2,True,3,dsct,-670.168605130083,-678.409660927939,normal,RL,"{'mean1': 1.007868961798823, 'Intercept': 1.0542505051820008, 'col0': 1.212135500577673, 'col1': 1.0949656368808265, 'col2': 1.06556295785786, 'col3': 1.0336350374079124, 'col4': 1.1261003899896156, 'col5': 1.0072763239119005}",0.92,0.65,0.92,0.41
33,2,True,3,lpv,-inf,-3044.27909749436,normal,RL,"{'mean1': 1.0009293756118156, 'Intercept': 1.21050890623431, 'col0': 1.004567050960068, 'col1': 1.4225049724585428, 'col2': 1.6782876650943042, 'col3': 1.0284199607565727, 'col4': 2.208758848977255, 'col5': 1.845034981174473}",0.89,0.64,0.89,0.71
